Stkcd,Stknme,Listdt,Conme,Conme_en,Nnindcd,Nnindnme,PROVINCE,PROVINCECODE,CITY,CITYCODE,OWNERSHIPTYPE,OWNERSHIPTYPECODE,Markettype
688309,恒誉环保,7/14/2020,济南恒誉环保科技股份有限公司,Niutech Environment Technology Corporation,C35,专用设备制造业,山东省,370000,济南市,370100,私营企业,P0306,32
688310,迈得医疗,12/3/2019,迈得医疗工业设备股份有限公司,"Maider Medical Industry Equipment Co., Ltd.",C35,专用设备制造业,浙江省,330000,玉环市,331083,私营企业,P0306,32
688311,盟升电子,7/31/2020,成都盟升电子技术股份有限公司,"Chengdu M&S Electronics Technology Co., Ltd.",C39,计算机、通信和其他电子设备制造业,四川省,510000,成都市,510100,私营企业,P0306,32
688312,燕麦科技,6/8/2020,深圳市燕麦科技股份有限公司,Shenzhen Yanmade Technology Inc.,C35,专用设备制造业,广东省,440000,深圳市,440300,私营企业,P0306,32
688313,仕佳光子,8/12/2020,河南仕佳光子科技股份有限公司,"Henan Shijia Photons Technology Co., Ltd.",C39,计算机、通信和其他电子设备制造业,河南省,410000,鹤壁市,410600,私营企业,P0306,32
688314,康拓医疗,5/18/2021,西安康拓医疗技术股份有限公司,"Kontour (Xi'an) Medical Technology Co., Ltd.",C35,专用设备制造业,陕西省,610000,西安市,610100,私营企业,P0306,32
688315,诺禾致源,4/13/2021,北京诺禾致源科技股份有限公司,"Novogene Co., Ltd.",M74,专业技术服务业,北京市,110000,北京市,110000,私营企业,P0306,32
688316,青云科技,3/16/2021,北京青云科技集团股份有限公司,"Beijing QingCloud Technology Group Co., Ltd",I65,软件和信息技术服务业,北京市,110000,北京市,110000,私营企业,P0306,32
688317,之江生物,1/18/2021,上海之江生物科技股份有限公司,"Shanghai ZJ Bio-Tech Co., Ltd.",C27,医药制造业,上海市,310000,上海市,310000,私营企业,P0306,32
688318,财富趋势,4/27/2020,深圳市财富趋势科技股份有限公司,"Shenzhen Fortune Trend Technology Co., Ltd.",I65,软件和信息技术服务业,广东省,440000,深圳市,440300,私营企业,P0306,32
688319,欧林生物,6/8/2021,成都欧林生物科技股份有限公司,Chengdu Olymvax Biopharmaceuticals Inc.,C27,医药制造业,四川省,510000,成都市,510100,私营企业,P0306,32
688320,禾川科技,4/28/2022,浙江禾川科技股份有限公司,"Zhejiang Hechuan Technology Co., Ltd.",C40,仪器仪表制造业,浙江省,330000,衢州市,330800,中外合资,P0303,32
688321,微芯生物,8/12/2019,深圳微芯生物科技股份有限公司,"Shenzhen Chipscreen Biosciences Co., Ltd.",C27,医药制造业,广东省,440000,深圳市,440300,中外合资,P0303,32
688322,奥比中光,7/7/2022,奥比中光科技集团股份有限公司,Orbbec Inc.,C39,计算机、通信和其他电子设备制造业,广东省,440000,深圳市,440300,私营企业,P0306,32
688323,瑞华泰,4/28/2021,深圳瑞华泰薄膜科技股份有限公司,RayiTEK Hi-Tech Film Company Ltd.,C29,橡胶和塑料制品业,广东省,440000,深圳市,440300,私营企业,P0306,32
688325,赛微微电,4/22/2022,广东赛微微电子股份有限公司,"Guangdong Cellwise Microelectronics Co., Ltd.",I65,软件和信息技术服务业,广东省,440000,东莞市,441900,私营企业,P0306,32
688326,经纬恒润,4/19/2022,北京经纬恒润科技股份有限公司,"Beijing Jingwei Hirain Technologies Co., Inc.",C39,计算机、通信和其他电子设备制造业,北京市,110000,北京市,110000,私营企业,P0306,32
688327,云从科技,5/27/2022,云从科技集团股份有限公司,"CloudWalk Technology Co., Ltd.",I65,软件和信息技术服务业,广东省,440000,广州市,440100,私营企业,P0306,32
688328,深科达,3/9/2021,深圳市深科达智能装备股份有限公司,Shenzhen Sking Intelligent Equipment Co. Ltd.,C35,专用设备制造业,广东省,440000,深圳市,440300,私营企业,P0306,32
688329,艾隆科技,3/29/2021,苏州艾隆科技股份有限公司,"Suzhou Iron Technology Co., Ltd.",C35,专用设备制造业,江苏省,320000,苏州市,320500,私营企业,P0306,32
688330,宏力达,10/15/2020,上海宏力达信息技术股份有限公司,"Shanghai Holystar Information Technology Co., Ltd.",C38,电气机械及器材制造业,上海市,310000,上海市,310000,私营企业,P0306,32
688331,荣昌生物,3/31/2022,荣昌生物制药(烟台)股份有限公司,"RemeGen Co., Ltd.",C27,医药制造业,山东省,370000,烟台市,370600,中外合资,P0303,32
688332,中科蓝讯,7/15/2022,深圳市中科蓝讯科技股份有限公司,"Shenzhen Bluetrum Technology Co., Ltd.",C39,计算机、通信和其他电子设备制造业,广东省,440000,深圳市,440300,私营企业,P0306,32
688333,铂力特,7/22/2019,西安铂力特增材技术股份有限公司,"Xi'an Bright Laser Technologies Co., Ltd.",C34,通用设备制造业,陕西省,610000,西安市,610100,私营企业,P0306,32
688334,西高院,6/19/2023,西安高压电器研究院股份有限公司,"Xi'an High Voltage Apparatus Research Institute Co., Ltd.",M74,专业技术服务业,陕西省,610000,西安市,610100,国营或国有控股,P0301,32
688335,复洁环保,8/17/2020,上海复洁环保科技股份有限公司,"Shanghai CEO Environmental Protection Technology Co., Ltd.",C35,专用设备制造业,上海市,310000,上海市,310000,私营企业,P0306,32
688336,三生国健,7/22/2020,三生国健药业(上海)股份有限公司,"Sunshine Guojian Pharmaceutical (Shanghai) Co., Ltd.",C27,医药制造业,上海市,310000,上海市,310000,中外合资,P0303,32
688337,普源精电,4/8/2022,普源精电科技股份有限公司,"Rigol Technologies Co., Ltd.",C40,仪器仪表制造业,江苏省,320000,苏州市,320500,私营企业,P0306,32
688338,赛科希德,8/6/2020,北京赛科希德科技股份有限公司,Beijing Succeeder Technology Inc.,C27,医药制造业,北京市,110000,北京市,110000,私营企业,P0306,32
688339,亿华通,8/10/2020,北京亿华通科技股份有限公司,"Beijing SinoHytec Co., Ltd.",C38,电气机械及器材制造业,北京市,110000,北京市,110000,私营企业,P0306,32
688343,云天励飞,4/4/2023,深圳云天励飞技术股份有限公司,"Shenzhen Intellifusion Technologies Co., Ltd.",I65,软件和信息技术服务业,广东省,440000,深圳市,440300,中外合资,P0303,32
688345,博力威,6/11/2021,广东博力威科技股份有限公司,"Guangdong Greenway Technology Co., Ltd.",C38,电气机械及器材制造业,广东省,440000,东莞市,441900,私营企业,P0306,32
688347,华虹公司,8/7/2023,华虹半导体有限公司,Hua Hong Semiconductor Limited,C39,计算机、通信和其他电子设备制造业,香港特别行政区,810000,香港特别行政区,810000,国营或国有控股,P0301,32
688348,昱能科技,6/8/2022,昱能科技股份有限公司,"Yuneng Technology Co., Ltd.",C38,电气机械及器材制造业,浙江省,330000,嘉兴市,330400,中外合资,P0303,32
